SDMA (EIA),8,μg/dl
Creatinine,97,umol/l
Urea (BUN),4.3,mmol/l
Sodium,149,mmol/l
Chloride,110,mmol/l
Potassium,4.5,mmol/l
Inorganic Phosphate,1.3,mmol/l
Total Bilirubin,6.8,umol/l
ALT (GPT),53,U/l
Alkaline phosphatase,65,U/l
GGT,4,U/l
AST (GOT),38,U/l
GLDH,7,U/l
Total protein,69,g/l
Albumin,34,g/l
Globulin,35,g/l
Glucose,4.0,mmol/l
a-Amylase,474,U/l
Lipase,77,U/l
Cholesterol,7.3,mmol/l
Fructosamine,246,umol/l
CK,252,U/l
Calcium,2.7,mmol/l
Magnesium,0.8,mmol/l
Triglycerides,0.9,mmol/l
CRP (C-reactive protein),2.9,mg/l
