Glucose,4.55,3.16,6.99,mmol/L
IDEXX SDMATM EIA,13,0,14,μg/dL
Creatinine,159.12,44.2,132.6,μmol/L
Urea (BUN),8.57,3.21,10.35,mmol/L
Phosphate,1.2,0.9,1.7,mmol/L
Calcium,2.7,2.1,2.9,mmol/L
Magnesium,0.8,0.7,1.1,mmol/L
Sodium,147,142,153,mmol/L
Potassium,5.0,3.9,5.8,mmol/L
Chloride,112,106,120,mmol/L
Total protein,67,54,76,g/L
Albumin,30,28,43,g/L
Globulin,37,24,43,g/L
ALT (GPT),30,25,122,U/L
AST (GOT),32,14,59,U/L
Alkaline phosphatase,71,14,147,U/L
GGT,3,2,13,U/L
GLDH,2,1,18,U/L
Bilirubin (total),6.84,0,6.84,μmol/L
Cholesterol,9.21,3.59,10.29,mmol/L
Triglycerides,0.72,0.32,5.29,mmol/L
Lipase,118,0,250,U/L
CK,137,41,378,U/L
Fructosamine,277,177,314,μmol/L
CRP (C-reactive protein) Immunoturbidimetry,6.8,0.0,10.7,mg/L
