SourceFile,FileName,DateTimeOriginal,GPSLatitude,GPSLongitude,GPSAltitude,Model,ImageWidth,ImageHeight
2025-05-30__stool__0001.JPG,2025-05-30__stool__0001.JPG,2025:05:30 12:55:16,35.8510055555556,14.4373444444444,99.35460451,iPhone 15 Plus,5712,4284
2025-05-30__stool__0025.JPG,2025-05-30__stool__0025.JPG,2025:05:30 13:00:19,35.8509638888889,14.4373444444444,99.39364231,iPhone 15 Plus,4032,3024
2025-05-30__stool__0026.JPG,2025-05-30__stool__0026.JPG,2025:05:30 13:01:11,35.8510027777778,14.4373027777778,104.6310692,iPhone 15 Plus,5712,4284
2026-02-04__stool__0002.JPG,2026-02-04__stool__0002.JPG,2026:02:04 13:19:28,35.8508777777778,14.4371527777778,111.2611351,iPhone 15 Plus,4032,3024
2026-02-07__stool__0003.JPG,2026-02-07__stool__0003.JPG,2026:02:07 16:37:05,35.8509944444444,14.4373444444444,104.1836815,iPhone 15 Plus,4032,3024
2026-02-08__stool__0004.JPG,2026-02-08__stool__0004.JPG,2026:02:08 00:18:19,35.8509305555556,14.4371805555556,100.5307274,iPhone 15 Plus,4032,3024
2026-02-08__stool__0027.JPG,2026-02-08__stool__0027.JPG,2026:02:08 00:18:59,35.8508611111111,14.4371805555556,99.61810314,iPhone 15 Plus,4032,3024
2026-02-08__stool__0028.JPG,2026-02-08__stool__0028.JPG,2026:02:08 00:19:00,35.8508611111111,14.4371805555556,99.61810314,iPhone 15 Plus,4032,3024
2026-02-09__stool__0005.JPG,2026-02-09__stool__0005.JPG,2026:02:09 12:46:44,35.8509861111111,14.4373027777778,102.871975,iPhone 15 Plus,4032,3024
2026-02-10__stool__0006.JPG,2026-02-10__stool__0006.JPG,2026:02:10 14:55:39,35.8510166666667,14.4372138888889,109.6939964,iPhone 15 Plus,4032,3024
2026-02-12__stool__0007.JPG,2026-02-12__stool__0007.JPG,2026:02:12 14:50:27,35.8509027777778,14.4372138888889,101.4571191,iPhone 15 Plus,4032,3024
2026-02-13__stool__0008.JPG,2026-02-13__stool__0008.JPG,2026:02:13 15:14:03,35.8509555555556,14.4371527777778,119.8658105,iPhone 15 Plus,4032,3024
2026-02-15__stool__0009.JPG,2026-02-15__stool__0009.JPG,2026:02:15 15:27:58,35.8509972222222,14.4372888888889,102.5140038,iPhone 15 Plus,4032,3024
2026-02-16__stool__0010.JPG,2026-02-16__stool__0010.JPG,2026:02:16 18:08:56,35.8508,14.4370361111111,105.0346338,iPhone 15 Plus,4032,3024
2026-02-16__stool__0029.JPG,2026-02-16__stool__0029.JPG,2026:02:16 18:09:20,35.8508111111111,14.4370777777778,112.0822438,iPhone 15 Plus,4032,3024
2026-02-17__stool__0011.JPG,2026-02-17__stool__0011.JPG,2026:02:17 15:27:18,35.8508944444444,14.4371722222222,99.8746345,iPhone 15 Plus,4032,3024
2026-02-18__stool__0012.JPG,2026-02-18__stool__0012.JPG,2026:02:18 14:15:37,35.8508944444444,14.4371722222222,104.1742283,iPhone 15 Plus,4032,3024
2026-02-21__stool__0013.JPG,2026-02-21__stool__0013.JPG,2026:02:21 17:19:25,35.8508944444444,14.4371722222222,105.0886929,iPhone 15 Plus,4032,3024
2026-02-22__stool__0014.JPG,2026-02-22__stool__0014.JPG,2026:02:22 14:29:14,35.8510361111111,14.4373638888889,101.1432571,iPhone 15 Plus,4032,3024
2026-02-23__stool__0015.JPG,2026-02-23__stool__0015.JPG,2026:02:23 14:38:25,35.8508472222222,14.4371388888889,100.4578775,iPhone 15 Plus,4032,3024
2026-02-25__stool__0016.JPG,2026-02-25__stool__0016.JPG,2026:02:25 13:44:40,35.8509666666667,14.4369888888889,101.7005272,iPhone 15 Plus,4032,3024
2026-02-25__stool__0030.JPG,2026-02-25__stool__0030.JPG,2026:02:25 13:44:51,35.8509666666667,14.4370611111111,104.5807762,iPhone 15 Plus,4032,3024
2026-03-01__stool__0017.JPG,2026-03-01__stool__0017.JPG,2026:03:01 16:01:25,35.8508444444444,14.4371111111111,104.0004539,iPhone 15 Plus,4032,3024
2026-03-04__stool__0018.JPG,2026-03-04__stool__0018.JPG,2026:03:04 14:08:16,35.8511555555556,14.4374972222222,124.1332665,iPhone 15 Plus,4032,3024
2026-03-05__stool__0019.JPG,2026-03-05__stool__0019.JPG,2026:03:05 13:31:28,35.8510138888889,14.4374444444444,109.483181,iPhone 15 Plus,4032,3024
2026-03-07__stool__0020.JPG,2026-03-07__stool__0020.JPG,2026:03:07 14:55:14,35.8508444444444,14.4371111111111,101.490305,iPhone 15 Plus,4032,3024
2026-03-08__stool__0021.JPG,2026-03-08__stool__0021.JPG,2026:03:08 14:54:15,35.8508416666667,14.4370944444444,107.9257469,iPhone 15 Plus,4032,3024
2026-03-10__stool__0022.JPG,2026-03-10__stool__0022.JPG,2026:03:10 13:51:39,35.8510888888889,14.4373027777778,107.160061,iPhone 15 Plus,4032,3024
2026-03-11__stool__0023.JPG,2026-03-11__stool__0023.JPG,2026:03:11 12:21:02,35.8510111111111,14.4373194444444,99.90987711,iPhone 15 Plus,4032,3024
2026-03-11__stool__0031.JPG,2026-03-11__stool__0031.JPG,2026:03:11 13:32:53,35.8509055555556,14.4371722222222,102.0326749,iPhone 15 Plus,4032,3024
2026-03-14__stool__0024.JPG,2026-03-14__stool__0024.JPG,2026:03:14 15:22:00,35.8509194444444,14.4371194444444,101.2857933,iPhone 15 Plus,4032,3024
